id,nombre,categoria,subcategoria,descripcion_corta,descripcion_larga,imagen,tipo_variante,opcion_1,precio_1,opcion_2,precio_2,opcion_3,precio_3,opcion_4,precio_4,opcion_5,precio_5
clavoM,Clavo de Olor Molido  ,condimentos,,Especia cálida y profundamente aromática que aporta intensidad integrada y envolvente.,"Ideal en repostería y mezclas especiadas.
Comparte propiedades digestivas y antisépticas.
✨ Protección energética y fortaleza.",Clavo de Olor Molido.jpg,peso,25g,250,50g,450,100g,860,,,,
cominoM,Comino Molido ,condimentos,,Especia intensa y terrosa que aporta profundidad y carácter a preparaciones saladas.,"El clavo de olor molido conserva el perfil especiado, dulce-picante y penetrante del clavo entero, pero al estar pulverizado se distribuye de manera uniforme en la preparación. Es ideal para repostería especiada, budines, panes, galletas, mezclas tipo chai, currys y salsas donde se busca un fondo cálido constante sin tener que retirar la especia luego.

Su sabor es potente y dominante, por lo que se recomienda usar en pequeñas cantidades para no invadir el equilibrio del plato.

Desde lo funcional, mantiene sus propiedades tradicionales como digestivo fuerte, carminativo y antimicrobiano natural. Se le atribuye efecto estimulante circulatorio y apoyo en estados de frío interno o digestiones lentas. Su acción es más inmediata en boca y estómago al estar ya molido.

✨ Energéticamente, el clavo molido actúa de manera más integrada que el entero. No “irrumpe”, sino que se fusiona con la preparación. Representa fuerza interior silenciosa, decisión sostenida y protección constante. Es una energía intensa pero contenida, que trabaja desde adentro hacia afuera.
Si el entero es defensa externa, el molido es fortaleza interna.",Comino molido especial.jpg,peso,25g,220,50g,400,100g,750,,,,
pizza,Condimento para Pizza ,condimentos,,"Blend aromático mediterráneo que realza salsas, masas y preparaciones al horno.","El condimento para pizza suele combinar hierbas clásicas como orégano, albahaca, tomillo, ajo y, en algunos casos, ají molido. Su perfil es herbal, cálido y ligeramente intenso, pensado para integrarse con tomate, queso y masas horneadas.

Se utiliza espolvoreado directamente sobre la pizza antes o después del horneado, en salsas de tomate caseras, focaccias, bruschettas, empanadas, panes saborizados y también en aderezos para vegetales asados. Es un blend práctico que concentra el espíritu de la cocina mediterránea en una sola mezcla.

Desde lo funcional, reúne propiedades de varias hierbas digestivas y antioxidantes:

El orégano aporta acción antimicrobiana natural.

La albahaca y el tomillo favorecen la digestión suave.

El ajo estimula circulación y sistema inmune.

Es una mezcla que no solo perfuma, sino que acompaña digestiones más livianas en preparaciones a base de harina y queso.

✨ Energéticamente, el condimento para pizza es energía de hogar y compartir. Está ligado al ritual simple de amasar, hornear y reunir. Representa calidez, mesa familiar y celebración cotidiana. No es una energía intensa ni confrontativa: es envolvente, sociable y armonizadora.
Es la vibración del “hecho en casa”.",Condimento para Pizza.jpg,peso,25g,180,50g,310,100g,580,,,,
coriandro,Coriandro molido ,condimentos,,Especia aromática de perfil fresco y ligeramente cítrico que equilibra y suaviza las preparaciones.,"El coriandro (semilla del cilantro) tiene un sabor cálido, levemente dulce y con notas cítricas sutiles que aportan frescura sin invadir. Es fundamental en currys, mezclas orientales, cocina india, árabe y también en panadería especiada. Combina muy bien con comino, cúrcuma, jengibre y pimienta, ayudando a redondear sabores intensos.

Desde lo funcional, es tradicionalmente digestivo y carminativo, favorece la reducción de gases y pesadez, estimula suavemente la secreción digestiva y aporta efecto armonizador sobre el sistema gastrointestinal. También se le atribuyen propiedades antioxidantes leves.

✨ Energéticamente, el coriandro es una especia de equilibrio y conciliación. No impone, integra. Su energía suaviza tensiones, armoniza combinaciones intensas y aporta una sensación de coherencia y fluidez. Se asocia a la claridad mental suave y a la capacidad de adaptarse sin perder identidad.",Coriandro molido.jpg,peso,25g,120,50g,200,100g,360,,,,
curcumaP,Cúrcuma en Polvo,condimentos,,"Especia de color dorado intenso que aporta calidez, profundidad y carácter terroso a las preparaciones.","De sabor suave pero presente, ligeramente amargo y terroso, la cúrcuma es base fundamental en currys, arroces, guisos, sopas, salteados de vegetales y mezclas especiadas. Su color amarillo vibrante transforma visualmente cualquier plato, aportando sensación de vitalidad y riqueza.

Se integra muy bien con pimienta negra (que mejora su absorción), jengibre, comino y coriandro. También puede utilizarse en bebidas calientes como la tradicional “leche dorada”.

Desde lo funcional, es tradicionalmente reconocida como antiinflamatoria natural, antioxidante y depurativa hepática. Se le atribuye apoyo en procesos articulares, digestivos y de limpieza interna. Su compuesto activo principal, la curcumina, ha sido ampliamente estudiado por sus efectos protectores celulares.

Se recomienda incorporarla en preparaciones con algo de grasa saludable (como aceite de oliva o coco) para favorecer su absorción.

✨ Energéticamente, la cúrcuma es renovación y poder personal. Su vibración se asocia al plexo solar, al centro de la voluntad y la identidad. Es una especia que limpia, ilumina y fortalece desde adentro. Representa transformación consciente, claridad interior y expansión vital.
Es tierra dorada que se convierte en luz.",curcuma.jpg,peso,25g,380,50g,720,100g,1400,,,,
curry,Curry molido,condimentos,,"Mezcla especiada cálida y compleja que aporta profundidad, color y carácter exótico a las preparaciones.","El curry molido no es una especia única, sino un blend que puede incluir cúrcuma, comino, coriandro, jengibre, pimienta, mostaza y otras especias aromáticas. Su perfil es cálido, ligeramente picante, terroso y envolvente, con capas de sabor que se desarrollan durante la cocción.

Es ideal para arroces, legumbres, vegetales salteados, sopas, guisos, salsas cremosas y platos de inspiración india o asiática. Se recomienda saltearlo brevemente en aceite antes de agregar líquidos para que libere todo su aroma y profundidad.

Desde lo funcional, al reunir varias especias digestivas, el curry suele ser estimulante digestivo, carminativo y antioxidante. Sus componentes (como cúrcuma y comino) favorecen la digestión, la circulación y el metabolismo, aportando además efecto antiinflamatorio suave.

✨ Energéticamente, el curry es expansión y creatividad. Es una mezcla que integra culturas, sabores y tradiciones. Representa apertura, viaje y transformación. No es lineal ni rígido: es diverso y dinámico.
Trabaja simbólicamente la capacidad de integrar lo diferente en armonía, de crear algo nuevo a partir de múltiples elementos.",Curry molido.jpg,peso,25g,200,50g,360,100g,680,,,,
jengibreP,Jengibre en Polvo,condimentos,,"Especia cálida y picante que activa, estimula y aporta profundidad vibrante a las preparaciones.","De sabor intenso, ligeramente picante y con un fondo fresco y aromático, el jengibre en polvo es muy versátil. Se utiliza en repostería especiada (galletitas, budines, panes), en mezclas tipo chai, bebidas calientes, licuados energéticos y también en cocina salada: currys, sopas, salteados y aderezos orientales.

Al estar en polvo, se integra de manera uniforme y práctica, aportando calor sin necesidad de rallado fresco. Se recomienda usar en pequeñas cantidades para no dominar el plato.

Desde lo funcional, el jengibre es tradicionalmente reconocido como digestivo, estimulante circulatorio y antiinflamatorio natural. Favorece la digestión, ayuda a reducir náuseas, estimula el metabolismo y aporta efecto termogénico suave. También es ampliamente utilizado en apoyo respiratorio y en estados de frío corporal.

✨ Energéticamente, el jengibre es fuego interno y motivación. Activa la voluntad, el movimiento y la energía vital. Es una especia que impulsa, que despierta cuando hay cansancio o estancamiento. Representa coraje, dinamismo y acción consciente.
No es sutil: es vitalidad directa y despierta.",jengibre.webp,peso,25g,510,50g,970,100g,1900,,,,
laurel,Laurel,condimentos,,Hoja aromática profunda que aporta estructura y carácter a cocciones largas.,"De aroma herbal intenso, ligeramente amargo y con notas resinosas, el laurel es una especia que trabaja en segundo plano, pero transforma la preparación. Se utiliza en guisos, estofados, sopas, legumbres, salsas y caldos, especialmente en cocciones prolongadas donde puede liberar lentamente sus aceites esenciales.

Se recomienda usar la hoja entera y retirarla antes de servir, ya que su textura no es agradable al masticar. Una sola hoja suele ser suficiente para perfumar una preparación completa.

Desde lo funcional, el laurel es tradicionalmente considerado digestivo y carminativo, ayudando a reducir gases y pesadez, especialmente en platos a base de legumbres. También se le atribuyen propiedades antioxidantes y apoyo respiratorio leve.

✨ Energéticamente, el laurel es símbolo de triunfo, protección y sabiduría (desde la antigua Grecia hasta hoy). Su energía es estructurante y protectora: no invade, sostiene. Representa claridad mental, foco y determinación tranquila.
Es una especia que aporta dirección y firmeza sin estridencia.",laurel.jpg,peso,25g,580,50g,1120,100g,2200,,,,
mostazaG,Mostaza en Granos,condimentos,,Semillas pequeñas y potentes que aportan picor cálido y profundidad aromática.,"La mostaza en granos tiene un sabor inicialmente suave que se intensifica al triturarse o hidratarse. Puede ser ligeramente amarga y picante, con un fondo terroso que se activa al contacto con líquidos. Se utiliza en encurtidos, conservas, salsas caseras, aderezos, panes y mezclas especiadas.

Cuando se tuesta levemente antes de usarla, libera un aroma más intenso y profundo. También puede molerse para preparar mostaza casera combinándola con vinagre o limón.

Desde lo funcional, la mostaza es tradicionalmente considerada estimulante digestiva y circulatoria. Activa la producción de jugos gástricos, favorece digestiones pesadas y aporta efecto termogénico suave. En uso externo (en cataplasmas tradicionales) se ha utilizado para estimular circulación local, aunque eso ya pertenece a prácticas más específicas.

✨ Energéticamente, la mostaza representa activación y decisión. Es pequeña pero poderosa. Su energía rompe la inercia y despierta lo adormecido. No es expansiva como el jengibre ni abrasiva como el ají; es un impulso interno que comienza suave y se intensifica.
Trabaja simbólicamente el coraje silencioso y la acción progresiva.",mostaza en grano.jpeg,peso,25g,210,50g,380,100g,720,,,,
nuezG,Nuez Moscada en Grano,condimentos,,Especia cálida y envolvente que aporta profundidad aromática y elegancia a preparaciones dulces y saladas.,"La nuez moscada en grano posee un aroma intenso, ligeramente dulce, amaderado y especiado, con un fondo cálido muy característico. Al rallarse en el momento, libera aceites esenciales frescos que son mucho más vibrantes que en su versión ya molida.

Es ideal para purés (especialmente de papa o calabaza), salsas blancas, rellenos, gratinados, sopas crema, preparaciones con espinaca y también en repostería especiada. Se recomienda rallarla en pequeñas cantidades, ya que su sabor es potente y puede dominar el plato si se usa en exceso.

Desde lo funcional, la nuez moscada es tradicionalmente considerada digestiva y carminativa, ayudando a reducir gases y pesadez después de comidas abundantes. También se le atribuye efecto estimulante suave y acción reconfortante en estados de frío interno. En cantidades muy altas puede resultar irritante, por lo que siempre se utiliza con moderación.

✨ Energéticamente, la nuez moscada es introspectiva y reconfortante. Su energía es cálida, envolvente y ligeramente misteriosa. Trabaja la contención emocional y la sensación de hogar. No es expansiva como la canela ni estimulante directa como el jengibre: es más bien un calor interno sutil que abraza desde adentro.
Simboliza profundidad, refugio y conexión con lo esencial.",NuezMG.jpg,peso,25g,1570,50g,3100,100g,6200,,,,
nuezM,Nuez Moscada Molida,condimentos,,Especia cálida y aromática que aporta profundidad inmediata y uniforme a las preparaciones.,"La nuez moscada molida conserva el perfil especiado, ligeramente dulce y amaderado del grano, pero al estar pulverizada se integra de forma homogénea y práctica. Es ideal cuando se busca rapidez y equilibrio constante en purés, salsas blancas, sopas crema, rellenos, pastas, gratinados y también en repostería especiada.

Aporta un fondo cálido que realza sin dominar cuando se usa en pequeñas cantidades. Es especialmente armoniosa en preparaciones cremosas y lácteas.

Desde lo funcional, mantiene sus propiedades tradicionales como digestiva y carminativa, favoreciendo digestiones más livianas en comidas pesadas o ricas en grasas. También se le atribuye efecto estimulante suave y reconfortante en estados de frío corporal. Como toda especia potente, se utiliza con moderación.

✨ Energéticamente, la nuez moscada molida es más integrada y constante que el grano recién rallado. Su energía es estable, envolvente y sostenida. Representa contención continua, equilibrio emocional y calidez cotidiana.
Si el grano recién rallado es chispa aromática fresca, la versión molida es abrazo constante: menos sorpresa, más sostén.",NuezMM.jpg,peso,25g,210,50g,380,100g,720,,,,
oregano,Orégano,condimentos,,Hierba aromática intensa que aporta carácter mediterráneo y profundidad herbal a las preparaciones.,"De sabor potente, ligeramente amargo y con notas cálidas y terrosas, el orégano es protagonista en pizzas, salsas de tomate, carnes, panes caseros, empanadas y vegetales asados. Su aroma se intensifica al frotar las hojas entre los dedos antes de usarlo, liberando sus aceites esenciales.

Es una hierba que soporta bien la cocción, pero también puede agregarse al final para conservar su perfil más fresco. Combina especialmente bien con ajo, tomate, aceite de oliva y pimentón.

Desde lo funcional, el orégano es tradicionalmente reconocido como digestivo, antioxidante y antimicrobiano natural. Favorece digestiones más livianas, especialmente en preparaciones grasas o a base de harinas. También se le atribuyen propiedades respiratorias suaves y efecto estimulante leve del sistema inmune.

✨ Energéticamente, el orégano es fuerza y protección. Su energía es firme, estructurante y clara. No es delicado ni etéreo: tiene presencia. Representa arraigo, estabilidad y defensa natural. Es una hierba que sostiene, que protege el espacio y que aporta sensación de firmeza interior.
Tiene una vibración de tierra con fuego: estable pero activa.",Oregano.jpg,peso,25g,170,50g,300,100g,570,,,,
paprika,Paprika ,condimentos,,Especia suave y aromática que aporta color vibrante y profundidad delicada sin excesivo picante.,"La paprika, elaborada a partir de pimientos secos molidos, tiene un perfil dulce con notas levemente ahumadas según su variedad. Su intensidad es moderada, lo que la convierte en una especia ideal para dar color y carácter sin dominar la preparación.

Se utiliza en arroces, papas, huevos, vegetales asados, guisos suaves, dips, hummus, salsas cremosas y presentaciones finales donde además cumple una función estética. Espolvoreada al final, aporta contraste visual y un toque aromático cálido.

Desde lo funcional, la paprika es tradicionalmente considerada antioxidante suave y estimulante digestiva leve, gracias a los compuestos naturales del pimiento. También se le atribuye apoyo circulatorio suave y efecto revitalizante ligero.

✨ Energéticamente, la paprika es una energía cálida y amable. No es fuego intenso como el ají cayena, sino una llama suave que ilumina. Representa vitalidad equilibrada, entusiasmo moderado y expresión creativa sin agresividad.
Aporta presencia sin imponerse. Es color que embellece y energía que acompaña.",Paprika.jpg,peso,25g,210,50g,380,100g,720,,,,
perejil,Perejil ,condimentos,,Hierba aromática verde y equilibrante que aporta frescura y luminosidad a las preparaciones.,"De sabor herbal limpio y ligeramente vegetal, el perejil seco conserva el carácter refrescante de la planta fresca, aunque con un perfil más concentrado y menos brillante. Se utiliza en salsas, sopas, guisos, rellenos, mezclas tipo provenzal y como terminación en platos salados.

Al estar deshidratado, se integra mejor en cocciones y mezclas secas, liberando su aroma gradualmente al hidratarse.

Desde lo funcional, el perejil es tradicionalmente reconocido como depurativo suave y remineralizante, rico en vitamina C y antioxidantes naturales. También se le atribuyen propiedades digestivas leves y apoyo al sistema urinario. Es una hierba que acompaña y equilibra más que protagoniza.

✨ Energéticamente, el perejil representa renovación y claridad. Su energía es fresca, limpia y revitalizante. No es intensa ni dominante: armoniza.
Trabaja simbólicamente la limpieza emocional suave, la ligereza y la capacidad de “oxigenar” situaciones densas. Es verde vivo, energía de comienzo y movimiento sutil.",Perejil.jpg,peso,25g,190,50g,330,100g,630,,,,
pimentonD,Pimentón Dulce,condimentos,,"Especia de color rojo intenso que aporta dulzor suave, profundidad y calidez sin picante.","El pimentón dulce se obtiene de pimientos rojos deshidratados y molidos. Su sabor es redondo, ligeramente dulce y con notas cálidas que aportan cuerpo sin agresividad. Es fundamental en guisos, estofados, arroces, legumbres, salsas, papas al horno y preparaciones tradicionales criollas y mediterráneas.

Se recomienda incorporarlo fuera del fuego intenso o diluido en aceite para evitar que se queme, ya que el calor directo puede volverlo amargo. También puede utilizarse como toque final para aportar color y presencia visual.

Desde lo funcional, el pimentón es tradicionalmente considerado antioxidante suave y estimulante digestivo leve, gracias a sus compuestos naturales derivados del pimiento. Aporta vitalidad y puede acompañar digestiones activas sin resultar invasivo.

✨ Energéticamente, el pimentón dulce representa calidez estable. No es fuego intenso como el ají, sino brasa constante. Aporta seguridad, presencia y sostén. Trabaja la energía del hogar, de la cocina que nutre y protege. Es expansión tranquila, entusiasmo sin exceso.",Pimentón Dulce.jpg,peso,25g,200,50g,350,100g,660,,,,
pimientaBG,Pimienta Blanca en Grano,condimentos,,Especia de picor fino y aroma delicado que aporta intensidad sutil y elegante.,"La pimienta blanca proviene del mismo fruto que la pimienta negra, pero se le retira la cáscara externa, lo que le da un perfil más limpio, menos terroso y ligeramente más penetrante en picor.

En grano, conserva mejor sus aceites esenciales y permite molerla al momento para obtener un aroma fresco e intenso. Es ideal para salsas claras, purés, cremas, sopas suaves, platos con pescado y preparaciones donde se busca picante sin puntos oscuros visibles.

Se recomienda molerla justo antes de usar para preservar su carácter aromático y evitar que se vuelva plana o excesivamente fuerte.

Desde lo funcional, la pimienta blanca es tradicionalmente considerada estimulante digestiva y circulatoria, favoreciendo la producción de jugos gástricos y ayudando a activar el metabolismo. También mejora la absorción de ciertos nutrientes cuando se combina con otras especias.

✨ Energéticamente, la pimienta blanca es activación refinada. No es expansiva ni rústica como la negra; su energía es más sutil, directa y penetrante. Representa claridad, precisión y acción consciente.
Es impulso delicado pero firme, decisión elegante sin estridencia.",pimienta blanca en grano.jpg,peso,25g,1220,50g,2390,100g,4740,,,,
pimientaBM,Pimienta Blanca Molida,condimentos,,Picante fino y directo que aporta intensidad equilibrada y homogénea a las preparaciones.,"La pimienta blanca molida conserva el perfil más limpio y penetrante de la pimienta blanca, pero al estar pulverizada se integra de manera uniforme en la receta. Es ideal para salsas claras, purés, cremas, rellenos, sopas suaves, pescados y platos donde se busca picor sin alterar el color final.

Su sabor es más lineal y constante que el grano recién molido. Se recomienda usar con moderación, ya que su picor puede percibirse más directo y persistente cuando ya está molida.

Desde lo funcional, mantiene su acción tradicional como estimulante digestiva y activadora circulatoria, favoreciendo la secreción de enzimas digestivas y ayudando a dinamizar el metabolismo. También contribuye a potenciar la absorción de ciertos compuestos cuando se combina con otras especias.

✨ Energéticamente, la pimienta blanca molida es precisión y foco sostenido. Su energía no sorprende como el grano recién triturado, sino que actúa de forma constante. Representa claridad mental aplicada, decisión continua y activación interna sin exhibición.
Es intensidad integrada, energía dirigida con intención.",Pimienta Blanca Molida.jpg,peso,25g,970,50g,1900,100g,3760,,,,
